"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Jahmyr Gibbs","RB","DET","1","1.2","0.2","RB01","RB01","0","1214154"
"Ja'Marr Chase","WR","CIN","2","3.1","1.1","WR01","WR01","0","1109979"
"Puka Nacua","WR","LA","3","4.0","1.0","WR02","WR02","0","1162128"
"Jaxon Smith-Njigba","WR","SEA","4","5.5","1.5","WR03","WR03","0","1214087"
"Bijan Robinson","RB","ATL","5","2.1","-2.9","RB02","RB02","0","1228244"
"Justin Jefferson","WR","MIN","6","9.3","3.3","WR04","WR05","1","1069535"
"Amon-Ra St Brown","WR","DET","7","7.2","0.2","WR05","WR04","-1","1127106"
"Christian McCaffrey","RB","SF","8","6.1","-1.9","RB03","RB03","0","830517"
"CeeDee Lamb","WR","DAL","9","10.4","1.4","WR06","WR06","0","1062020"
"Jonathan Taylor","RB","IND","10","8.5","-1.5","RB04","RB04","0","1065406"
"Saquon Barkley","RB","PHI","11","13.2","2.2","RB05","RB07","2","883302"
"James Cook","RB","BUF","12","10.7","-1.3","RB06","RB05","-1","1131012"
"Ashton Jeanty","RB","LV","13","12.3","-0.7","RB07","RB06","-1","1379646"
"Drake London","WR","ATL","14","20.6","6.6","WR07","WR08","1","1178741"
"Derrick Henry","RB","BAL","15","19.3","4.3","RB08","RB12","4","732145"
"Kenneth Walker","RB","KC","16","15.7","-0.3","RB09","RB09","0","1164402"
"Brock Bowers","TE","LV","17","19.7","2.7","TE01","TE01","0","1285917"
"AJ Brown","WR","NE","18","16.2","-1.8","WR08","WR07","-1","944826"
"De'Von Achane","RB","MIA","19","18.7","-0.3","RB10","RB11","1","1231820"
"Chase Brown","RB","CIN","20","16.8","-3.2","RB11","RB10","-1","1123379"
"Omarion Hampton","RB","LAC","21","14.9","-6.1","RB12","RB08","-4","1398572"
"Trey McBride","TE","ARI","22","25.0","3.0","TE02","TE02","0","1108161"
"George Pickens","WR","DAL","23","23.8","0.8","WR09","WR10","1","1172053"
"Nico Collins","WR","HOU","24","22.9","-1.1","WR10","WR09","-1","1074698"
"Chris Olave","WR","NO","25","28.9","3.9","WR11","WR13","2","1122592"
"Jeremiyah Love","RB","ARI","26","27.4","1.4","RB13","RB13","0","1451501"
"Rashee Rice","WR","KC","27","25.2","-1.8","WR12","WR11","-1","1173538"
"Devonta Smith","WR","PHI","28","28.1","0.1","WR13","WR12","-1","1060262"
"Garrett Wilson","WR","NYJ","29","37.5","8.5","WR14","WR18","4","1164889"
"Kyren Williams","RB","LA","30","29.5","-0.5","RB14","RB14","0","1167361"
"Breece Hall","RB","NYJ","31","33.5","2.5","RB15","RB15","0","1162537"
"Ladd McConkey","WR","LAC","32","34.6","2.6","WR15","WR16","1","1218643"
"Zay Flowers","WR","BAL","33","32.1","-0.9","WR16","WR15","-1","1177053"
"Emeka Egbuka","WR","TB","34","30.8","-3.2","WR17","WR14","-3","1287825"
"Javonte Williams","RB","DAL","35","36.2","1.2","RB16","RB16","0","1107881"
"Josh Allen","QB","BUF","36","26.6","-9.4","QB01","QB01","0","868199"
"Colston Loveland","TE","CHI","37","39.2","2.2","TE03","TE03","0","1378821"
"Tee Higgins","WR","CIN","38","35.1","-2.9","WR18","WR17","-1","978579"
"Travis Etienne","RB","NO","39","40.2","1.2","RB17","RB17","0","978577"
"Josh Jacobs","RB","GB","40","41.0","1.0","RB18","RB18","0","944416"
"Malik Nabers","WR","NYG","41","40.5","-0.5","WR19","WR19","0","1286059"
"Davante Adams","WR","LA","42","48.7","6.7","WR20","WR25","5","611417"
"Tetairoa McMillan","WR","CAR","43","44.2","1.2","WR21","WR21","0","1380576"
"Terry McLaurin","WR","WAS","44","46.1","2.1","WR22","WR23","1","836116"
"D'Andre Swift","RB","CHI","45","50.2","5.2","RB19","RB21","2","1069808"
"Luther Burden","WR","CHI","46","44.7","-1.3","WR23","WR22","-1","1377732"
"Jaylen Waddle","WR","DEN","47","41.4","-5.6","WR24","WR20","-4","1125749"
"Cam Skattebo","RB","NYG","48","45.0","-3.0","RB20","RB19","-1","1280316"
"Jameson Williams","WR","DET","49","53.2","4.2","WR25","WR27","2","1175184"
"Lamar Jackson","QB","BAL","50","52.6","2.6","QB02","QB02","0","877745"
"David Montgomery","RB","HOU","51","47.3","-3.7","RB21","RB20","-1","946739"
"Bucky Irving","RB","TB","52","60.7","8.7","RB22","RB25","3","1287923"
"Mike Evans","WR","SF","53","51.2","-1.8","WR26","WR26","0","593587"
"DJ Moore","WR","BUF","54","48.6","-5.4","WR27","WR24","-3","877790"
"Jayden Daniels","QB","WAS","55","69.3","14.3","QB03","QB05","2","1161228"
"Joe Burrow","QB","CIN","56","58.0","2.0","QB04","QB03","-1","878785"
"Bhayshul Tuten","RB","JAX","57","55.8","-1.2","RB23","RB23","0","1327169"
"Jordyn Tyson","WR","NO","58","70.0","12.0","WR28","WR34","6","1394692"
"Tony Pollard","RB","TEN","59","71.8","12.8","RB24","RB27","3","880398"
"TreVeyon Henderson","RB","NE","60","57.3","-2.7","RB25","RB24","-1","1287837"
"Jadarian Price","RB","SEA","61","65.4","4.4","RB26","RB26","0","1383791"
"Quinshon Judkins","RB","CLE","62","55.7","-6.3","RB27","RB22","-5","1383807"
"Christian Watson","WR","GB","63","54.6","-8.4","WR29","WR28","-1","1067918"
"DK Metcalf","WR","PIT","64","76.1","12.1","WR30","WR36","6","945633"
"Tyler Warren","TE","IND","65","60.4","-4.6","TE04","TE04","0","1229083"
"Carnell Tate","WR","TEN","66","62.4","-3.6","WR31","WR30","-1","1441839"
"Drake Maye","QB","NE","67","63.5","-3.5","QB05","QB04","-1","1286803"
"Rhamondre Stevenson","RB","NE","68","76.6","8.6","RB28","RB29","1","1174682"
"Rico Dowdle","RB","PIT","69","90.5","21.5","RB29","RB32","3","933480"
"Parker Washington","WR","JAX","70","65.3","-4.7","WR32","WR32","0","1229074"
"Dak Prescott","QB","DAL","71","79.3","8.3","QB06","QB08","2","591816"
"Marvin Harrison","WR","ARI","72","66.5","-5.5","WR33","WR33","0","1287828"
"Jalen Hurts","QB","PHI","73","75.2","2.2","QB07","QB07","0","913271"
"Jaylen Warren","RB","PIT","74","74.1","0.1","RB30","RB28","-2","1176443"
"Brian Thomas","WR","JAX","75","65.0","-10.0","WR34","WR31","-3","1286064"
"Rome Odunze","WR","CHI","76","59.0","-17.0","WR35","WR29","-6","1213727"
"Chuba Hubbard","RB","CAR","77","81.0","4.0","RB31","RB30","-1","1062047"
"Caleb Williams","QB","CHI","78","71.0","-7.0","QB08","QB06","-2","1286445"
"Matthew Stafford","QB","LA","79","89.7","10.7","QB09","QB11","2","323205"
"Justin Herbert","QB","LAC","80","82.9","2.9","QB10","QB09","-1","910562"
"RJ Harvey","RB","DEN","81","85.6","4.6","RB32","RB31","-1","1172401"
"Brock Purdy","QB","SF","82","97.4","15.4","QB11","QB13","2","1121761"
"Jordan Addison","WR","MIN","83","98.9","15.9","WR36","WR45","9","1214250"
"Jayden Reed","WR","GB","84","93.0","9.0","WR37","WR43","6","1123398"
"Tucker Kraft","TE","GB","85","77.1","-7.9","TE05","TE05","0","1181874"
"Courtland Sutton","WR","DEN","86","83.3","-2.7","WR38","WR39","1","838878"
"Trevor Lawrence","QB","JAX","87","85.2","-1.8","QB12","QB10","-2","1110711"
"Patrick Mahomes","QB","KC","88","95.8","7.8","QB13","QB12","-1","839031"
"Alec Pierce","WR","IND","89","81.2","-7.8","WR39","WR38","-1","1107027"
"Chris Godwin","WR","TB","90","78.8","-11.2","WR40","WR37","-3","835127"
"Sam LaPorta","TE","DET","91","91.0","-0.0","TE06","TE07","1","1168926"
"Jordan Love","QB","GB","92","113.5","21.5","QB14","QB18","4","912137"
"Kenneth Gainwell","RB","TB","93","95.3","2.3","RB33","RB33","0","1130705"
"Kyler Murray","QB","MIN","94","110.5","16.5","QB15","QB17","2","879799"
"Harold Fannin","TE","CLE","95","102.8","7.8","TE07","TE08","1","1394752"
"Jaxson Dart","QB","NYG","96","103.3","7.3","QB16","QB14","-2","1286260"
"Kyle Pitts","TE","ATL","97","85.9","-11.1","TE08","TE06","-2","1123026"
"Michael Wilson","WR","ARI","98","88.0","-10.0","WR41","WR41","0","1123529"
"Quentin Johnston","WR","LAC","99","73.2","-25.8","WR42","WR35","-7","1213865"
"Michael Pittman","WR","PIT","100","92.4","-7.6","WR43","WR42","-1","911348"
"Josh Downs","WR","IND","101","97.1","-3.9","WR44","WR44","0","1215077"
"Bo Nix","QB","DEN","102","110.4","8.4","QB17","QB16","-1","1161899"
"Jared Goff","QB","DET","103","104.4","1.4","QB18","QB15","-3","727837"
"Makai Lemon","WR","PHI","104","86.8","-17.2","WR45","WR40","-5","1441120"
"Blake Corum","RB","LA","105","102.6","-2.4","RB34","RB36","2","1229540"
"Jakobi Meyers","WR","JAX","106","113.7","7.7","WR46","WR49","3","880151"
"Xavier Worthy","WR","KC","107","110.8","3.8","WR47","WR48","1","1326638"
"JK Dobbins","RB","DEN","108","108.0","-0.0","RB35","RB37","2","976513"
"Kyle Monangai","RB","CHI","109","99.5","-9.5","RB36","RB34","-2","1250886"
"Ricky Pearsall","WR","SF","110","100.4","-9.6","WR48","WR46","-2","1161416"
"Matthew Golden","WR","GB","111","115.7","4.7","WR49","WR50","1","1379267"
"George Kittle","TE","SF","112","105.0","-7.0","TE09","TE09","0","733672"
"Wan'Dale Robinson","WR","TEN","113","106.6","-6.4","WR50","WR47","-3","1164875"
"Baker Mayfield","QB","TB","114","120.6","6.6","QB19","QB20","1","748070"
"KC Concepcion","WR","CLE","115","126.4","11.4","WR51","WR53","2","1441576"
"Aaron Jones","RB","MIN","116","124.1","8.1","RB37","RB40","3","741314"
"Khalil Shakir","WR","BUF","117","123.7","6.7","WR52","WR52","0","1130603"
"Travis Kelce","TE","KC","118","119.0","1.0","TE10","TE11","1","448240"
"Malik Willis","QB","MIA","119","131.6","12.6","QB20","QB21","1","976323"
"Dallas Goedert","TE","PHI","120","121.3","1.3","TE11","TE13","2","791365"
"Dalton Kincaid","TE","BUF","121","112.7","-8.3","TE12","TE10","-2","1135513"
"Jordan Mason","RB","MIN","122","117.7","-4.3","RB38","RB39","1","1116001"
"Rachaad White","RB","WAS","123","112.1","-10.9","RB39","RB38","-1","1229343"
"Sam Darnold","QB","SEA","124","134.9","10.9","QB21","QB22","1","880026"
"Jonathon Brooks","RB","CAR","125","100.4","-24.6","RB40","RB35","-5","1326601"
"Tyler Shough","QB","NO","126","117.9","-8.1","QB22","QB19","-3","1110306"
"CJ Stroud","QB","HOU","127","141.3","14.3","QB23","QB24","1","1214084"
"Tyrone Tracy","RB","NYG","128","132.9","4.9","RB41","RB42","1","1109708"
"Jake Ferguson","TE","DAL","129","127.8","-1.2","TE13","TE14","1","1065361"
"Mark Andrews","TE","BAL","130","130.9","0.9","TE14","TE15","1","820699"
"Chris Rodriguez","RB","JAX","131","138.2","7.2","RB42","RB43","1","1113403"
"Jalen Coker","WR","CAR","132","129.4","-2.6","WR53","WR54","1","1218753"
"Jacory Croskey-Merritt","RB","WAS","133","125.4","-7.6","RB43","RB41","-2","1191186"
"Romeo Doubs","WR","NE","134","121.6","-12.4","WR54","WR51","-3","1122653"
"Daniel Jones","QB","IND","135","145.0","10.0","QB24","QB25","1","879981"
"Stefon Diggs","WR","FA","136","137.3","1.3","WR55","WR57","2","694041"
"Jayden Higgins","WR","HOU","137","132.3","-4.7","WR56","WR55","-1","1274492"
"Keaton Mitchell","RB","LAC","138","141.5","3.5","RB44","RB44","0","1222789"
"Woody Marks","RB","HOU","139","146.1","7.1","RB45","RB47","2","1231652"
"Isaiah Likely","TE","NYG","140","120.0","-20.0","TE15","TE12","-3","1125111"
"Cameron Ward","QB","TEN","141","139.6","-1.4","QB25","QB23","-2","1228691"
"Rashid Shaheed","WR","SEA","142","135.4","-6.6","WR57","WR56","-1","923412"
"Tyjae Spears","RB","TEN","143","154.6","11.6","RB46","RB49","3","1169430"
"Omar Cooper","WR","NYJ","144","152.2","8.2","WR58","WR60","2","1394825"
"Alvin Kamara","RB","NO","145","153.2","8.2","RB47","RB48","1","750846"
"Bryce Young","QB","CAR","146","151.4","5.4","QB26","QB26","0","1213257"
"Brenton Strange","TE","JAX","147","147.5","0.5","TE16","TE18","2","1164940"
"Jauan Jennings","WR","MIN","148","154.0","6.0","WR59","WR61","2","867009"
"Isiah Pacheco","RB","DET","149","144.2","-4.8","RB48","RB46","-2","1106832"
"Oronde Gadsden","TE","LAC","150","147.3","-2.7","TE17","TE17","0","1325624"
"Denzel Boston","WR","CLE","151","165.5","14.5","WR60","WR66","6","1379904"
"Jalen McMillan","WR","TB","152","143.1","-8.9","WR61","WR58","-3","1213726"
"Kenyon Sadiq","TE","NYJ","153","161.6","8.6","TE18","TE21","3","1444547"
"Hunter Henry","TE","NE","154","155.0","1.0","TE19","TE20","1","744425"
